Type                                  Module                      Label             Process   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaEcalPFClusterIso"   ""                "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaEleGsfTrackIso"   ""                "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaHcalPFClusterIso"   ""                "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaHoverE"           ""                "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaGsfTrackVars"     "Chi2"            "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaGsfTrackVars"     "Deta"            "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaGsfTrackVars"     "DetaSeed"        "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaGsfTrackVars"     "Dphi"            "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaGsfTrackVars"     "MissingHits"     "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaGsfTrackVars"     "NLayerIT"        "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaGsfTrackVars"     "OneOESeedMinusOneOP"   "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaGsfTrackVars"     "OneOESuperMinusOneOP"   "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaGsfTrackVars"     "ValidHits"       "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVars"   "s2"              "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaClusterShape"     "sigmaIEtaIEta5x5"   "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaClusterShape"     "sigmaIEtaIEta5x5NoiseCleaned"   "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaClusterShape"     "sigmaIPhiIPhi"   "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaClusterShape"     "sigmaIPhiIPhi5x5"   "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaClusterShape"     "sigmaIPhiIPhi5x5NoiseCleaned"   "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltEgammaGsfTracks"        ""                "MYHLT"   
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltEgammaHLTExtra"         "EcalRecHitsEB"   "MYHLT"   
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltEgammaHLTExtra"         "EcalRecHitsEE"   "MYHLT"   
edm::SortedCollection<HBHERecHit,edm::StrictWeakOrdering<HBHERecHit> >    "hltEgammaHLTExtra"         ""                "MYHLT"   
edm::TriggerResults                   "TriggerResults"            ""                "MYHLT"   
int                                   "hltEgammaHLTExtra"         "countEcalRecHitsEcalRecHitsEBThres0GeV"   "MYHLT"   
int                                   "hltEgammaHLTExtra"         "countEcalRecHitsEcalRecHitsEBThres0p5GeV"   "MYHLT"   
int                                   "hltEgammaHLTExtra"         "countEcalRecHitsEcalRecHitsEBThres1GeV"   "MYHLT"   
int                                   "hltEgammaHLTExtra"         "countEcalRecHitsEcalRecHitsEBThres1p5GeV"   "MYHLT"   
int                                   "hltEgammaHLTExtra"         "countEcalRecHitsEcalRecHitsEBThres2GeV"   "MYHLT"   
int                                   "hltEgammaHLTExtra"         "countEcalRecHitsEcalRecHitsEEThres0GeV"   "MYHLT"   
