#Data tag : 19v3 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
315640:6638,05/02/18 21:31:41,42,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.014924809,0.010512485
315641:6638,05/02/18 21:56:12,4,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.001524398,0.001237309
315642:6638,05/02/18 22:03:16,92,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.032714778,0.031431097
315644:6638,05/02/18 22:42:00,184,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.064786093,0.063159684
315645:6638,05/02/18 23:58:43,583,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.165007398,0.161090551
315646:6638,05/03/18 03:51:56,1033,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.195445383,0.191964439
315647:6638,05/03/18 10:38:46,58,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.008667528,0.008018192
315648:6638,05/03/18 11:04:01,110,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.015513726,0.015226137
315689:6639,05/03/18 14:58:22,1111,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.339285554,0.329958838
315690:6639,05/03/18 22:39:08,645,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.121162538,0.119001932
315702:6640,05/04/18 08:08:15,76,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.024600285,0.022853106
315703:6640,05/04/18 08:40:27,545,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.163590326,0.158162019
315704:6640,05/04/18 12:15:58,61,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.015167059,0.014739015
315705:6640,05/04/18 12:42:46,700,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.135069849,0.132814780
315713:6641,05/04/18 19:35:25,1061,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.365751454,0.353734703
315721:6642,05/05/18 05:08:14,589,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.218515929,0.210579169
315741:6643,05/05/18 11:57:43,59,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.025217710,0.023717251
315764:6645,05/05/18 15:48:29,273,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.119105323,0.114011154
315770:6646,05/06/18 02:20:23,294,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.126216093,0.121796189
315784:6648,05/06/18 11:07:00,126,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.053714259,0.051799834
315785:6648,05/06/18 12:23:07,303,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.109412972,0.106003338
315786:6648,05/06/18 14:25:10,72,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.022718391,0.021848143
315790:6648,05/06/18 18:12:51,921,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.176879352,0.173123579
315800:6650,05/07/18 06:55:20,581,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.213135542,0.206215401
315801:6650,05/07/18 10:57:12,344,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.101138180,0.098534603
315840:6654,05/07/18 21:19:16,1122,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.364439422,0.354111468
315973:6659,05/08/18 23:33:11,855,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.285938999,0.278586191
315974:6659,05/09/18 05:17:09,71,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.019080182,0.018532205
316058:6662,05/09/18 20:47:16,364,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.142755731,0.137197208
316059:6662,05/09/18 23:10:21,566,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.178381890,0.170426968
316060:6662,05/10/18 02:53:15,935,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.203915094,0.198479234
316061:6662,05/10/18 09:00:15,36,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.006254605,0.006146917
316062:6662,05/10/18 10:24:04,4,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.000709713,0.000698283
316082:6663,05/10/18 12:45:58,371,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.145838771,0.141359586
316110:6666,05/10/18 21:22:27,210,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.084662551,0.081969483
316111:6666,05/10/18 22:46:45,48,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.017661731,0.015161958
316113:6666,05/10/18 23:16:41,64,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.022311647,0.020491266
316114:6666,05/10/18 23:42:59,1561,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.377645756,0.367994967
316153:6672,05/11/18 17:03:13,770,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.263569557,0.256240431
316186:6674,05/12/18 03:00:17,44,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.017141809,0.015153677
316187:6674,05/12/18 03:18:33,1970,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.534587696,0.512428751
316199:6675,05/12/18 18:55:11,1165,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.416331454,0.401961320
316200:6675,05/13/18 02:29:14,10,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.002635834,0.002226180
316201:6675,05/13/18 02:36:34,498,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.115957736,0.110093155
316202:6675,05/13/18 05:53:19,403,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.077434166,0.075106131
316216:6677,05/13/18 11:57:38,442,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.179260722,0.171479086
316217:6677,05/13/18 15:05:03,264,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.091441855,0.088158861
